,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Office of the Inspector General,EPA-HQ-2014-004966,N,20,,,,25-Mar-14,25-Mar-14,,,Complex,,,,,,,,,,,,, ,,,, ,
Information Management Division,EPA-HQ-2014-005046,N,30,,,,27-Mar-14,8-May-14,19-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Enforcement and Compliance Assurance,EPA-HQ-2014-005094,N,30,,,,28-Mar-14,28-Mar-14,23-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2014-005234,N,,,,,,,,,Simple,,,,4-Apr-14,30-May-17,Affirmed on Appeal,, ,Ex. 5,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-005503,N,30,,,,11-Apr-14,11-Apr-14,31-Mar-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
OGC Law Groups Air and Radiation Law Office,EPA-HQ-2014-005577,N,,,,,,,,,Simple,,,,17-Apr-14,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2014-005627,N,,,,,,,,,Simple,,,,17-Apr-14,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-005849,N,20,,,,23-Apr-14,23-Apr-14,8-Dec-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-006129,N,20,,,,1-May-14,1-May-14,22-Dec-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-006130,N,20,,,,29-Apr-14,1-May-14,10-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-006132,N,20,,,,1-May-14,1-May-14,22-Dec-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-006158,N,30,,,,2-May-14,2-May-14,27-Apr-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2014-006161,N,20,(CLOB) 5 U.S.C. 107(a) (Ethics and Govt Act of 1978),(CLOB) Financial disclosure information pertaining to certain government employees.,"(CLOB) Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Office for U.S. Attorneys, 161 F. Supp. 3d 1, 7 (D.D.C.) 2015; Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010); Glascoe V. DOJ, No. 04-0486, 2005 WL 1139269 at *1 (D.D.C. May 15, 2005).",2-May-14,2-May-14,29-Sep-17,,Complex,Full denial based on exemptions, ,"Ex. 3, Ex. 6, Ex. 7(C)",,,,,,,2-May-14,6-May-14,4,Deny,2-May-14,6-May-14,3,Deny,
Climate Change Division,EPA-HQ-2014-006170,N,20,,,,2-May-14,6-May-14,6-Apr-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-006228,N,20,,,,6-May-14,13-May-14,,,Complex,,,,,,,,,,,,, ,6-May-14,14-May-14,8,Full Grant,
Office of Pesticide Programs,EPA-HQ-2014-006251,N,30,,,,6-May-14,7-May-14,11-May-17,,Complex,Full grant, ,,,,,,,,,,, ,6-May-14,13-May-14,6,Not Billable,
Office of Pesticide Programs,EPA-HQ-2014-006408,N,30,,,,13-May-14,13-May-14,11-Oct-16,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-006463,N,20,,,,14-May-14,14-May-14,,,Complex,,,,,,,,,,,,, ,14-May-14,27-May-14,13,Not Billable,
Office of Enforcement and Compliance Assurance,EPA-HQ-2014-006496,N,30,,,,14-May-14,15-May-14,,,Complex,,,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2014-006616,N,,,,,,,,,Simple,,,,19-May-14,30-May-17,Affirmed on Appeal,, ,Ex. 5,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-006678,N,20,,,,20-May-14,20-May-14,1-Aug-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,20-May-14,3-Jul-14,44,Full Grant,
Office of Emergency Management,EPA-HQ-2014-006764,N,20,,,,22-May-14,1-Jun-17,,,Complex,,,,,,,,,,27-May-14,27-May-14,0,Withdrawn by Requester,22-May-14,12-Jun-14,20,Full Grant,
Information Management Division,EPA-HQ-2014-006908,N,20,,,,29-May-14,30-May-14,9-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pollution Prevention and Toxics,EPA-HQ-2014-007012,N,20,,,,2-Jun-14,,7-Feb-17,,Complex,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Information Management Division,EPA-HQ-2014-007207,N,20,,,,6-Jun-14,6-Jun-14,5-Jul-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2014-007297,N,,,,,,,,,Simple,,,,11-Jun-14,23-Jan-17,Affirmed on Appeal,, ,"Ex. 6, Ex. 7(C)",,,, ,,,, ,
Staff Attorneys,EPA-HQ-2014-007672,N,,,,,,,,,Simple,,,,24-Jun-14,,,,,,,,, ,,,, ,
Office of Emergency Management,EPA-HQ-2014-007716,N,20,,,,23-Jun-14,23-Jun-14,,,Complex,,,,,,,,,,23-Jun-14,10-Jul-14,17,Deny,23-Jun-14,10-Jul-14,16,Deny,
Staff Attorneys,EPA-HQ-2014-007737,N,,,,,,,,,Simple,,,,24-Jun-14,12-Oct-16,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-007815,N,20,,,,25-Jun-14,26-Jun-14,,,Complex,,,,,,,,,,,,, ,25-Jun-14,9-Jul-14,13,Not Billable,
Office of Pesticide Programs,EPA-HQ-2014-007846,N,20,,,,26-Jun-14,26-Jun-14,,,Complex,,,,,,,,,,,,, ,26-Jun-14,9-Jul-14,12,Deny,
Office of International and Tribal Affairs,EPA-HQ-2014-008341,N,20,,,,10-Jul-14,10-Jul-14,27-Feb-17,,Complex,Other,Litigation,,,,,,,,,,, ,,,, ,
Office of International and Tribal Affairs,EPA-HQ-2014-008342,N,20,,,,10-Jul-14,10-Jul-14,9-Mar-17,,Complex,Other,Litigation,"Ex. 5, Ex. 6",,,,,,,,,, ,,,, ,
Office of International and Tribal Affairs,EPA-HQ-2014-008345,N,20,,,,10-Jul-14,10-Jul-14,9-Mar-17,,Complex,Other,Litigation,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2014-008350,N,,,,,,,,,Simple,,,,14-Jul-14,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2014-008353,N,20,,,,10-Jul-14,11-Jul-14,7-Feb-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2014-008490,N,20,,,,15-Jul-14,16-Jul-14,16-Nov-16,228,Complex,Request withdrawn, ,,,,,,,,,,, ,15-Jul-14,16-Jul-14,0,Deny,
Office of Pesticide Programs,EPA-HQ-2014-008604,N,20,,,,18-Jul-14,18-Jul-14,23-Feb-17,,Complex,Full grant, ,,,,,,,,,,, ,18-Jul-14,14-Aug-14,27,Deny,
Office of International and Tribal Affairs,EPA-HQ-2014-008636,N,20,,,,21-Jul-14,21-Jul-14,23-Mar-17,,Complex,Other,Litigation,"Ex. 5, Ex. 6",,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-008677,N,20,,,,21-Jul-14,22-Jul-14,5-Jan-17,,Complex,Full grant, ,,,,,,,,22-Jul-14,23-Jul-14,1,Deny,21-Jul-14,23-Jul-14,1,Full Grant,
Office of Air Quality Planning and Standards,EPA-HQ-2014-009160,N,20,,,,5-Aug-14,5-Aug-14,9-Aug-17,,Complex,Duplicate request, ,,,,,,,,,,, ,5-Aug-14,12-Aug-14,7,Full Grant,
National Program Chemical Division,EPA-HQ-2014-009172,N,20,,,,5-Aug-14,6-Aug-14,5-Jun-17,,Complex,No records, ,,,,,,,,,,, ,5-Aug-14,13-Aug-14,7,Not Billable,
Staff Attorneys,EPA-HQ-2014-009291,N,,,,,,,,,Simple,,,,7-Aug-14,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-009425,N,20,,,,13-Aug-14,25-Nov-14,14-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,13-Aug-14,27-Aug-14,14,Deny,
Office of Pesticide Programs,EPA-HQ-2014-009553,N,20,,,,18-Aug-14,18-Aug-14,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-009942,N,20,,,,29-Aug-14,2-Sep-14,2-Dec-16,7,Complex,Request withdrawn, ,,,,,,,,,,, ,29-Aug-14,11-Sep-14,12,Not Billable,
Staff Attorneys,EPA-HQ-2014-010080,N,,,,,,,,,Simple,,,,5-Sep-14,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-010111,N,20,,,,5-Sep-14,5-Sep-14,7-Jul-17,,Complex,Request withdrawn, ,,,,,,,,5-Sep-14,12-Sep-14,7,Deny,5-Sep-14,12-Sep-14,7,Not Billable,
Office of the Inspector General,EPA-HQ-2014-010153,N,20,,,,5-Sep-14,8-Sep-14,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-010708,N,20,,,,24-Sep-14,29-Sep-14,26-Oct-16,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-000108,N,,,,,,,,,Simple,,,,7-Oct-14,13-Dec-16,Closed for other reasons,Fee-related reason, ,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2015-000276,N,20,,,,7-Oct-14,8-Oct-14,19-Jan-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,7-Oct-14,15-Oct-14,7,Not Billable,
Office of Air Quality Planning and Standards,EPA-HQ-2015-000289,N,20,,,,8-Oct-14,8-Oct-14,9-Aug-17,,Complex,Duplicate request, ,,,,,,,,,,, ,,,, ,
Office of Air Quality Planning and Standards,EPA-HQ-2015-000312,N,20,,,,8-Oct-14,9-Oct-14,9-Aug-17,,Complex,Duplicate request, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2015-000352,N,20,,,,9-Oct-14,9-Oct-14,,,Complex,,,,,,,,,,,,, ,9-Oct-14,22-Oct-14,13,Full Grant,
OGC,EPA-HQ-2015-000485,N,,,,,,,,,Simple,,,,15-Oct-14,23-Jan-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-000646,N,,,,,,,,,Simple,,,,20-Oct-14,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-000707,N,20,,,,21-Oct-14,22-Oct-14,,,Complex,,,,,,,,,,,,, ,21-Oct-14,30-Oct-14,8,Deny,
Office of Pesticide Programs,EPA-HQ-2015-000711,N,20,,,,21-Oct-14,22-Oct-14,,,Complex,,,,,,,,,,,,, ,21-Oct-14,30-Oct-14,8,Deny,
Office of Pesticide Programs,EPA-HQ-2015-000753,N,20,,,,22-Oct-14,22-Oct-14,,,Complex,,,,,,,,,,,,, ,22-Oct-14,24-Oct-14,1,Full Grant,
Office of Pesticide Programs,EPA-HQ-2015-000844,N,20,,,,24-Oct-14,24-Oct-14,,,Complex,,,,,,,,,,24-Oct-14,30-Oct-14,6,Deny,24-Oct-14,30-Oct-14,5,Full Grant,
"Office of Criminal Enforcement, Forensics, and Training",EPA-HQ-2015-000984,N,20,,,,29-Oct-14,4-Nov-14,11-Oct-16,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-001004,N,20,,,,29-Oct-14,30-Oct-14,17-Oct-16,,Complex,Full grant, ,,,,,,,,29-Oct-14,30-Oct-14,1,Deny,29-Oct-14,30-Oct-14,0,Full Grant,
Chemical Control Division,EPA-HQ-2015-001149,N,30,,,,4-Nov-14,5-Nov-14,,,Complex,,,,,,,,,,,,, ,4-Nov-14,6-Nov-14,2,Not Billable,
Office of the Inspector General,EPA-HQ-2015-001288,N,20,,,,6-Nov-14,6-Nov-14,,,Complex,,,,,,,,,,,,, ,6-Nov-14,18-Nov-14,12,Full Grant,
Information Management Division,EPA-HQ-2015-001429,N,20,,,,12-Nov-14,12-Nov-14,21-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,12-Nov-14,17-Nov-14,5,Full Grant,
Office of Pesticide Programs,EPA-HQ-2015-001463,N,20,,,,12-Nov-14,12-Nov-14,,,Complex,,,,,,,,,,,,, ,,,, ,
External Civil Rights Compliance Office,EPA-HQ-2015-001705,N,20,,,,20-Nov-14,4-Aug-17,30-Aug-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2015-001765,N,20,,,,21-Nov-14,21-Nov-14,27-Oct-16,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6, Ex. 7(C), Ex. 7(F)",,,,,,,,,, ,21-Nov-14,2-Dec-14,10,Not Billable,
Office of Pesticide Programs,EPA-HQ-2015-001818,N,20,,,,24-Nov-14,25-Nov-14,8-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2015-001829,N,,,,,,,,,Simple,,,,25-Nov-14,20-Mar-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-002131,N,30,,,,7-Dec-14,8-Dec-14,14-Jun-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-002334,N,,,,,,,,,Simple,,,,16-Dec-14,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-002589,N,20,,,,21-Dec-14,22-Dec-14,17-Aug-17,,Complex,Request withdrawn, ,,,,,,,,22-Dec-14,31-Dec-14,9,Deny,21-Dec-14,31-Dec-14,9,Deny,
Office of Pesticide Programs,EPA-HQ-2015-002590,N,20,,,,21-Dec-14,22-Dec-14,17-Aug-17,,Complex,Request withdrawn, ,,,,,,,,22-Dec-14,31-Dec-14,9,Deny,21-Dec-14,31-Dec-14,9,Deny,
Office of Pesticide Programs,EPA-HQ-2015-002591,N,20,,,,21-Dec-14,6-Feb-15,17-Aug-17,,Complex,Request withdrawn, ,,,,,,,,21-Dec-14,13-Jan-15,22,Deny,21-Dec-14,13-Jan-15,22,Deny,
Office of Pollution Prevention and Toxics,EPA-HQ-2015-002638,N,20,,,,23-Dec-14,24-Dec-14,20-Sep-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,23-Dec-14,8-Jan-15,15,Not Billable,
Chemical Control Division,EPA-HQ-2015-002854,N,30,,,,5-Jan-15,6-Jan-15,,6,Complex,,,,,,,,,,,,, ,,,, ,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2015-002872,N,20,,,,6-Jan-15,6-Jan-15,25-Jul-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-002903,N,20,,,,7-Jan-15,7-Jan-15,1-Aug-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-002910,N,20,,,,7-Jan-15,7-Jan-15,19-Jan-17,206,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-002911,N,20,,,,7-Jan-15,7-Jan-15,19-Jan-17,683,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-002912,N,20,,,,7-Jan-15,7-Jan-15,19-Jan-17,206,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-002913,N,20,,,,7-Jan-15,7-Jan-15,19-Jan-17,206,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-002914,N,20,,,,7-Jan-15,7-Jan-15,19-Jan-17,683,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-002915,N,20,,,,7-Jan-15,7-Jan-15,18-Jan-17,683,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-003072,N,20,,,,12-Jan-15,15-Jan-15,12-May-17,,Complex,Request withdrawn, ,Ex. 6,,,,,,,,,, ,12-Jan-15,20-Jan-15,7,Deny,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-003226,N,20,,,,14-Jan-15,15-Jan-15,12-May-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,14-Jan-15,22-Jan-15,7,Deny,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-003228,N,20,,,,14-Jan-15,15-Jan-15,12-May-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,14-Jan-15,26-Jan-15,11,Deny,
Office of the Administrator,EPA-HQ-2015-003231,N,20,,,,14-Jan-15,15-Jan-15,18-Jan-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,14-Jan-15,22-Jan-15,7,Deny,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2015-003383,N,20,,,,20-Jan-15,23-Mar-15,25-Jul-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pollution Prevention and Toxics,EPA-HQ-2015-003389,N,20,,,,20-Jan-15,22-Jan-15,21-Sep-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,20-Jan-15,28-Jan-15,7,Not Billable,
OGC,EPA-HQ-2015-003428,N,,,,,,,,,Simple,,,,21-Jan-15,28-Mar-17,Closed for other reasons,Fee-related reason, ,,,,, ,,,, ,
OGC Law Groups Air and Radiation Law Office,EPA-HQ-2015-003675,N,,,,,,,,,Simple,,,,28-Jan-15,23-May-17,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-003682,N,20,,,,28-Jan-15,28-Jan-15,,,Complex,,,,,,,,,,,,, ,28-Jan-15,3-Feb-15,5,Deny,
Office of the Administrator,EPA-HQ-2015-003731,N,20,,,,29-Jan-15,29-Jan-15,1-Dec-16,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-003734,N,30,,,,29-Jan-15,29-Jan-15,26-May-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-003794,N,20,,,,2-Feb-15,2-Feb-15,7-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Climate Change Division,EPA-HQ-2015-003931,N,30,,,,6-Feb-15,6-Feb-15,19-Jan-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,6-Feb-15,12-Feb-15,6,Full Grant,
Office of Transportation and Air Quality,EPA-HQ-2015-003985,N,20,,,,7-Feb-15,10-Feb-15,16-Feb-17,506,Complex,Full denial based on exemptions, ,Ex. 4,,,,,,,,,, ,7-Feb-15,13-Feb-15,5,Deny,
Water Permits Division,EPA-HQ-2015-004064,N,20,,,,10-Feb-15,12-Feb-15,18-May-17,583,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2015-004072,N,20,,,,10-Feb-15,10-Feb-15,31-Aug-17,0,Complex,Other,Litigation,Ex. 5,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004198,N,20,,,,13-Feb-15,13-Feb-15,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004360,N,20,,,,19-Feb-15,20-Feb-15,22-Feb-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-004400,N,30,,,,20-Feb-15,20-Feb-15,1-Aug-17,,Complex,Request withdrawn, ,,,,,,,,20-Feb-15,27-Feb-15,7,Deny,20-Feb-15,27-Feb-15,7,Not Billable,
Office of Pesticide Programs,EPA-HQ-2015-004474,N,20,,,,23-Feb-15,24-Feb-15,22-Feb-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004475,N,20,,,,23-Feb-15,24-Feb-15,22-Feb-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004476,N,20,,,,23-Feb-15,24-Feb-15,22-Feb-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004548,N,20,,,,25-Feb-15,25-Feb-15,29-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004656,N,20,,,,27-Feb-15,27-Feb-15,19-Jan-17,,Complex,Full grant, ,,,,,,,,,,, ,27-Feb-15,19-Jan-17,692,Deny,
Office of Pesticide Programs,EPA-HQ-2015-004662,N,20,,,,27-Feb-15,27-Feb-15,17-Jan-17,,Complex,Full grant, ,,,,,,,,,,, ,27-Feb-15,17-Jan-17,690,Deny,
Office of Acquisition Management,EPA-HQ-2015-004686,N,20,,,,2-Mar-15,2-Mar-15,24-Aug-17,,Complex,Partial grant/partial denial, ,Ex. 4,,,,,,,,,, ,2-Mar-15,11-Mar-15,8,Deny,
Office of the Administrator,EPA-HQ-2015-004753,N,20,,,,3-Mar-15,4-Mar-15,30-Jun-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,3-Mar-15,4-Mar-15,0,Withdrawn by Requester,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-004761,N,20,,,,3-Mar-15,4-Mar-15,26-May-17,639,Simple,Full grant, ,,,,,,,,,,, ,3-Mar-15,14-Apr-15,41,Withdrawn by Requester,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-004805,N,20,,,,4-Mar-15,4-Mar-15,2-Aug-17,,Expedited,Request withdrawn, ,,,,,,,,4-Mar-15,12-Mar-15,7,Grant,4-Mar-15,31-Mar-15,26,Not Billable,
Office of Pesticide Programs,EPA-HQ-2015-004854,N,20,,,,5-Mar-15,6-Mar-15,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-004913,N,20,,,,6-Mar-15,6-Mar-15,,,Complex,,,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2015-005021,N,,,,,,,,,Simple,,,,10-Mar-15,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-005043,N,20,,,,10-Mar-15,10-Mar-15,,,Complex,,,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-005117,N,,,,,,,,,Simple,,,,12-Mar-15,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-005290,N,20,,,,17-Mar-15,18-Mar-15,23-Dec-16,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-005445,N,30,,,,20-Mar-15,20-Mar-15,17-Jan-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-005447,N,20,,,,20-Mar-15,26-Mar-15,15-Dec-16,,Complex,Duplicate request, ,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2015-005720,N,,,,,,,,,Simple,,,,2-Apr-15,22-Nov-16,Closed for other reasons,Other,Moot,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-005721,N,,,,,,,,,Simple,,,,2-Apr-15,,,,,,,,, ,,,, ,
Office of Acquisition Management,EPA-HQ-2015-005802,N,20,,,,2-Apr-15,2-Apr-15,15-Nov-16,228,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-005870,N,,,,,,,,,Simple,,,,6-Apr-15,2-Aug-17,Closed for other reasons,Duplicate request or appeal, ,,,,, ,,,, ,
Office of Emergency Management,EPA-HQ-2015-005948,N,30,,,,8-Apr-15,8-Apr-15,,,Complex,,,,,,,,,,,,, ,,,, ,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2015-006070,N,30,,,,11-Apr-15,16-Apr-15,25-Jul-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-006087,N,20,,,,13-Apr-15,16-Apr-15,,,Complex,,,,,,,,,,,,, ,13-Apr-15,24-Apr-15,10,Deny,
OGC,EPA-HQ-2015-006127,N,,,,,,,,,Simple,,,,14-Apr-15,23-Jun-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2015-006156,N,20,,,,14-Apr-15,14-Apr-15,31-Aug-17,,Complex,Request withdrawn, ,,,,,,,,14-Apr-15,21-Apr-15,7,Deny,14-Apr-15,21-Apr-15,7,Not Billable,
Office of Transportation and Air Quality,EPA-HQ-2015-006182,N,20,,,,15-Apr-15,16-Apr-15,1-Aug-17,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-006197,N,30,,,,15-Apr-15,16-Apr-15,,,Complex,,,,,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2015-006207,N,,,,,,,,,Simple,,,,8-Sep-15,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2015-006290,N,,,,,,,,,Simple,,,,1-May-15,5-Apr-17,Closed for other reasons,Other,Moot,,,,, ,,,, ,
External Civil Rights Compliance Office,EPA-HQ-2015-006392,N,30,,,,21-Apr-15,,24-Aug-17,,Complex,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2015-006495,N,30,,,,23-Apr-15,23-Apr-15,,,Complex,,,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-006516,N,,,,,,,,,Simple,,,,,8-Aug-17,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2015-006517,N,,,,,,,,,Simple,,,,,8-Aug-17,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2015-006732,N,20,,,,1-May-15,1-May-15,18-May-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2015-006792,N,20,,,,24-Apr-15,24-Apr-15,25-Jul-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Federal Activities,EPA-HQ-2015-006820,Y,20,,,,5-May-15,,21-Dec-16,,Pending,, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2015-006869,N,20,,,,6-May-15,7-May-15,,,Complex,,,,,,,,,,6-May-15,19-May-15,12,Deny,6-May-15,19-May-15,12,Not Billable,
Office of the Inspector General,EPA-HQ-2015-006912,N,20,,,,7-May-15,7-May-15,,,Complex,,,,,,,,,,,,, ,7-May-15,8-May-15,1,Not Billable,
Office of the Inspector General,EPA-HQ-2015-006913,N,20,,,,7-May-15,7-May-15,,,Complex,,,,,,,,,,,,, ,7-May-15,13-May-15,6,Full Grant,
